sample, total, mapped

Ergo, 94374710, 94231087
ability, 1285439336, 1281806239
Ergo, 94374710, 94231087
Iena, 1231719532, 1229356528
Eros, 1168768848, 1167097599
Highbury, 1178121335, 1176105397
Joss-Cambier, 1148959143, 1146804272
Kontrast, 1195133624, 1192354864
captor, 1210364861, 1206499698
Hybrid46, 1183575025, 1181488786
Koga1, 1211252109, 1209243729
Holdfast, 1156273235, 1154599620
Aronde, 1316034742, 1216648636
Boreonos, 1154126186, 1151367095
Hobbit, 1400612770, 1397860307
Cezanne, 1206351667, 1201617770
Albatross, 1427901516, 1425454059
Avalon, 1232161193, 1230126879
Flair, 1301193405, 1299512860
Bounty, 1312390680, 1307843239
KWS-Santiago, 1081832447, 1079614907
Arminda, 1423279339, 1415165203
MarisHuntsman, 1160086899, 1155457062
B1190189-2, 1380726912, 1377735969
Extrem, 1189908162, 1182258819
blitz, 1185466830, 1180806802
Cimcog26, 1375727903, 1373683104
Crusoe, 1148471475, 1146899802
Camp-Remy, 1332495892, 1329003398
Capo, 1152603766, 1150616314
Flamingo, 1308730824, 1306046533
Cimcog56, 1326400700, 1322752141
Glasgow, 1189871995, 1086495993
malacca, 1235721601, 1233607643
Cappelle-Desprez, 1215456680, 1142739525
denver, 1206611141, 1205004376
Erla-Kolben, 1144623275, 1142943116
Equinox, 1166780405, 1163178988
Florida, 1348937248, 1344143997
Becard-Kachu, 1180166845, 1178338543
Cimcog49, 1147455285, 930558376
Diplomat, 1161991155, 1158082051
Galant, 1216368108, 951429222
Cimcog47, 1671551325, 1667652592
Gabo, 1506164733, 1503595615
Alcedo, 1152632340, 1150243550
Cordiale, 1176175648, 978868153
cimcog32, 1304101809, 1300181747
Maris-Dove, 1320196221, 1315894729
Cimcog3, 1160817317, 1158951262
B1190315-2, 1447917086, 1444756196
Calif, 1213553373, 1212046081
Beaver, 1157409430, 1154005613
Charger, 1395254034, 1370647982
Mironovska, 1332676091, 1330443432
Hereward, 1274577865, 1270389486
Fanal, 1367161668, 1363740595
Marco, 1175875719, 1174212045
Fiorello, 1361938211, 1360144571
Leda, 1166021064, 1163882952
Buster, 1395735209, 1392231042
Courtot, 1172436996, 1170111034
Flame, 1229453517, 1226559582
B1190598-1, 1351172109, 1348297247
B1190302-1, 1353556905, 1351513893
B1190484-1, 1396769253, 1394916074
Moisson, 1171138985, 1167730529
Mahndorfer, 1612546324, 1610148470
B1190522-1, 1390863101, 1388586765
B1190429-1, 1416559581, 1413805868
B1190806-1, 1386935956, 1384223417
B1190468-1, 916923690, 913693714
Cimcog53, 1146020080, 578068620
B1190361-1, 1405981749, 1403214059
Pomerelle, 1300949668, 1299197020
Minister, 1328776821, 1326864105
fidel, 675646993, 674749048
Pavon76, 1154982896, 1153440218
Garcia, 1507009817, 1504889994
Agron, 1448927066, 1447492162
B1190653-1, 1419115048, 1416094694
Maris-Widgeon, 1493743388, 1489805190
B1190023-1, 2144159766, 2138929731
B1190356-1, 1452236585, 1448769764
Peragis, 1174138789, 1171858457
Nautica, 1282282517, 1278264555
Multiweiss, 1283160354, 1281044091
B1190400-1, 1478769467, 1475143339
Pastiche, 1241415249, 1239182814
Grafton, 1785488621, 1782558820
MISR1, 1225824861, 1215959585
Renan, 1173343814, 1171261296
Etoile-de-Choisy, 1427851129, 772230049
Aztec, 1389158202, 1387822840
Pony, 1218540860, 1216969643
Revelation, 1183518689, 1180539629
Pfau, 1171645605, 1150558860
B1190563-1, 2231702147, 2225463352
Opata, 1187971915, 1186055369
Super152, 1417003772, 1414318284
RitzlhoferNeu, 1566178325, 1556450865
Perlo, 1240238961, 1237920334
Muck, 1433241624, 1431467123
Red-Fife, 1439112641, 1436946993
Norman, 1177023607, 834767577
Soissons, 1182924711, 1181143134
Rabe, 1151058662, 1149721977
Obelisk, 1324569003, 1322270099
Pamyat, 1367497828, 1365335183
Alba, 2590510013, 2585855153
Prof-Marshall, 1211402543, 1160901173
Sicco, 1156486814, 1104980371
Shamrock, 1183527590, 1161849061
Spark, 1176177410, 1174626619
Scipion, 1190499954, 1188484294
Riband, 1198256684, 1196390486
Alert, 825070588, 824249129
Reedling, 1221436266, 1218617573
Granada, 1607472120, 1605443481
Stamm101, 1178103950, 1176275227
Recital, 1436599136, 1434105737
Orlando, 1282517926, 1280356572
Rialto, 1224653466, 947412535
Stella, 1209716115, 1207077662
Sperber, 1180707003, 1179116175
Shango, 1380106655, 1349846247
Schweigers-Taca, 1378215071, 1364319030
B1190729-1, 2761750571, 2755079142
solstice, 1172592092, 1170478940
Rimpaus-Braun-known-as-Braun-Rimpau, 1160836384, 873925306
Titus, 1166069461, 1164176918
Tadorna, 1294998703, 1292850394
Svale, 1195284118, 1192884165
Treasure, 1241605411, 1239449758
veritas, 1031379317, 1027490860
Starke2, 1203183654, 1201328411
Slejpner, 1468363518, 1463043107
WATDE0001, 1175157636, 1172309550
Taras, 1165801942, 1164458779
Haven, 1926248059, 1921897989
WATDE0005, 1164943134, 1162584277
Virgo, 1158891822, 1129932104
Vaguedepis, 1164688537, 1161916010
Drauhofener, 2073854740, 2071967415
wasp, 1234249168, 1232911058
Tschermaks, 1401621212, 1398832264
Heine, 1783877117, 1781823155
WATDE0002, 1151797978, 1149985690
B1190079-1, 2809920744, 2803611218
festival, 1616537962, 1615266935
Diablo, 1952144804, 1946521654
Thatcher, 1602277816, 1547780811
Vilmorin27, 1251543719, 1247819870
WATDE0039, 575852204, 569452794
Vilmorin-53, 1173512943, 1171396882
WATDE0007, 1236563060, 1234272221
WATDE0004, 1208271629, 1206131699
WATDE0019, 1162677384, 1161095076
Dorby, 1852757145, 1851054940
WATDE0009, 1157448067, 1155590408
Tremie, 1501432902, 1499021643
WATDE0031, 1143760364, 1141903029
WATDE0024, 1163602571, 1161410231
WATDE0027, 1196698367, 1194519050
WATDE0022, 1160880845, 1159025414
WATDE0020, 1166695984, 1164768004
WATDE0041, 1198378505, 1196509008
WATDE0016, 1157693916, 1155473369
Thor, 1487502101, 1484868558
